Description,Total,Aug-26,Jul-26,Jun-26,May-26,Apr-26,Mar-26,Feb-26,Jan-26,Dec-25,Nov-25,Oct-25,"Sep 2025+Older",grouptype,groupuid
..NEW CODE CHALLAN BILLS,            1405.00,            1338.00,              67.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,2468706068
.ALKEM (SAMPLE),           16992.00,            1635.00,             495.00,             284.00,            1044.00,           11583.00,            1951.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,3917421332
.JAY (CASH) (NEW) (1 ITEM),          965122.00,          923647.00,           41475.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,354574738
.SAGAR (CASH)(1 ITEM),           87579.00,           87579.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,3845676718
1 BHIWANDI,           27838.00,            2707.00,            1039.00,            1603.00,               0.00,             525.00,             651.00,            1950.00,             339.00,            1331.00,            3384.00,             118.00,           14191.00,Group,754508492
1 WADKI,            1864.00,               0.00,               0.00,            -219.00,             891.00,             191.00,            1001.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,3579587055
123 NEW PARTY FOR ADVANCE BILLING,             862.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,             862.00,               0.00,               0.00,               0.00,               0.00,Group,11716827
2 D MEDICAL AND DIST - SHIKRAPUR,          107198.00,           26099.00,           44724.00,           36375.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,1045828028
24 HR MEDICAL COSMATICS - NANDED,           17559.00,           17559.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,1506653372
3S-CORPORATION - KANDIVALI(E),            8340.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            8340.00,Group,565327188
A D PHARMA - NAGPUR-LN,           67291.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           67291.00,Group,1839373380
A J ENTERPRISES-KOPARKHAIRANE,           10805.00,            7644.00,            3161.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,16500669
A K PHARMACY - GOVANDI,           84290.00,               0.00,               0.00,            1500.00,            1000.00,            2000.00,             500.00,               0.00,               0.00,               0.00,           58120.00,           21170.00,               0.00,Group,3964734147
A K-KURLA (DIAPERS),            8198.00,               0.00,               0.00,               0.00,               0.00,               0.00,            8198.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,3470831446
A ONE PHARMA - DOMBIVALI,           14099.00,               0.00,               0.00,               0.00,           14099.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,3521826870
A R MEDICARE - LATUR  XX,           40245.46,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            2389.46,               0.00,               0.00,               0.00,               0.00,           37856.00,Group,3045018262
A TO Z MEDICAL AGENCY - CHANDRAPUR,           17863.00,            3612.00,           14251.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,3057382076
A TO Z PHARMA AGENCY - SILLOD,           28495.00,            8660.00,            2888.00,           16947.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,2944297577
A TO Z PHARMA - ANDHERI,          425711.00,          137426.00,          214774.00,           50641.00,           22870.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,919852994
A TO Z PHARMA - KONDWA,           17745.00,               0.00,               0.00,           17745.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,296749559
A.B PHARMA - NALASOPARA,           48130.00,           30572.00,               0.00,               0.00,           17558.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,2029258298
A.B.PHARMA-SEWREE(SALE),            5313.00,               0.00,               0.00,               0.00,               0.00,               0.00,            5313.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,3056413383
A.J.PHARMA-BHIWANDI,          276231.32,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,          276231.32,Group,1304579189
A.K.PHARMA-BHIWANDI,          142206.00,           75915.00,           66291.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,3191595279
A.M.PHARMA - BHIWANDI,           80680.00,           35682.00,           37044.00,            7954.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,3626790102
A.S.PHARMA - KOLHAPUR,           55575.00,               0.00,           -2347.00,          -20280.00,               0.00,               0.00,               0.00,             500.00,               0.00,               0.00,           60624.00,               0.00,           17078.00,Group,4015571079
A.T.ENTERPRISES - BHIWANDI,          201378.00,           28250.00,           44399.00,           96389.00,           32340.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,1588904623
