PARTYNAME,BILLNO,BILLDATE,BILLAMT,BALANCE,DAYS,MOBILE,EMAIL,MOBILE,EMAIL
..NEW CODE CHALLAN BILLS,PUN/02285,04-Jul-26,67,67,46,1234567890,,1234567890,
..NEW CODE CHALLAN BILLS,BHI/07855,04-Aug-26,91,91,15,1234567890,,1234567890,
..NEW CODE CHALLAN BILLS,ACC/2598,08-Aug-26,322,322,11,1234567890,,1234567890,
..NEW CODE CHALLAN BILLS,ACC/2599,10-Aug-26,80,80,9,1234567890,,1234567890,
.ALKEM (SAMPLE),BHI/22763,11-Mar-26,1951,1951,161,1234567890,,1234567890,b9820061593@gmail.com
.ALKEM (SAMPLE),BHI/00076,03-Apr-26,307,307,138,1234567890,,1234567890,b9820061593@gmail.com
.ALKEM (SAMPLE),BHI/01521,30-Apr-26,11276,11276,111,1234567890,,1234567890,b9820061593@gmail.com
.ALKEM (SAMPLE),BHI/02964,26-May-26,709,709,85,1234567890,,1234567890,b9820061593@gmail.com
.ALKEM (SAMPLE),BHI/03249,30-May-26,335,335,81,1234567890,,1234567890,b9820061593@gmail.com
.ALKEM (SAMPLE),BHI/03510,04-Jun-26,284,284,76,1234567890,,1234567890,b9820061593@gmail.com
.ALKEM (SAMPLE),BHI/05905,09-Jul-26,495,495,41,1234567890,,1234567890,b9820061593@gmail.com
.ALKEM (SAMPLE),BHI/08087,07-Aug-26,352,352,12,1234567890,,1234567890,b9820061593@gmail.com
.ALKEM (SAMPLE),BHI/08349,10-Aug-26,1283,1283,9,1234567890,,1234567890,b9820061593@gmail.com
.JAY (CASH) (NEW) (1 ITEM),BHI/07347,30-Jul-26,33600,33600,20,9137387415,,9137387415,b9820061593@gmail.com
.JAY (CASH) (NEW) (1 ITEM),BHI/07390,31-Jul-26,7875,7875,19,9137387415,,9137387415,b9820061593@gmail.com
.JAY (CASH) (NEW) (1 ITEM),NAG/01900,05-Aug-26,29925,29925,14,9137387415,,9137387415,b9820061593@gmail.com
.JAY (CASH) (NEW) (1 ITEM),PUN/03210,05-Aug-26,8925,8925,14,9137387415,,9137387415,b9820061593@gmail.com
.JAY (CASH) (NEW) (1 ITEM),BHI/07263,06-Aug-26,123884,123884,13,9137387415,,9137387415,b9820061593@gmail.com
.JAY (CASH) (NEW) (1 ITEM),BHI/07935,06-Aug-26,29531,29531,13,9137387415,,9137387415,b9820061593@gmail.com
.JAY (CASH) (NEW) (1 ITEM),BHI/08035,06-Aug-26,225384,225384,13,9137387415,,9137387415,b9820061593@gmail.com
.JAY (CASH) (NEW) (1 ITEM),MUM/01054,06-Aug-26,73099,73099,13,9137387415,,9137387415,b9820061593@gmail.com
.JAY (CASH) (NEW) (1 ITEM),MUM/01056,06-Aug-26,2100,2100,13,9137387415,,9137387415,b9820061593@gmail.com
.JAY (CASH) (NEW) (1 ITEM),MUM/01081,10-Aug-26,3,3,9,9137387415,,9137387415,b9820061593@gmail.com
.JAY (CASH) (NEW) (1 ITEM),BHI/08334,11-Aug-26,7481,7481,8,9137387415,,9137387415,b9820061593@gmail.com
.JAY (CASH) (NEW) (1 ITEM),BHI/08624,13-Aug-26,3186,3186,6,9137387415,,9137387415,b9820061593@gmail.com
.JAY (CASH) (NEW) (1 ITEM),BHI/08625,13-Aug-26,6359,6359,6,9137387415,,9137387415,b9820061593@gmail.com
.JAY (CASH) (NEW) (1 ITEM),BHI/08628,13-Aug-26,43171,43171,6,9137387415,,9137387415,b9820061593@gmail.com
.JAY (CASH) (NEW) (1 ITEM),BHI/08745,14-Aug-26,2756,2756,5,9137387415,,9137387415,b9820061593@gmail.com
.JAY (CASH) (NEW) (1 ITEM),MUM/01116,14-Aug-26,1,1,5,9137387415,,9137387415,b9820061593@gmail.com
.JAY (CASH) (NEW) (1 ITEM),BHI/08791,17-Aug-26,95813,95813,2,9137387415,,9137387415,b9820061593@gmail.com
.SAGAR (CASH)(1 ITEM),BHI/08434,11-Aug-26,18,18,8,8087177169,ujspharma@gmail.com,8087177169,ujspharma@gmail.com
.SAGAR (CASH)(1 ITEM),BHI/08556,12-Aug-26,6,6,7,8087177169,ujspharma@gmail.com,8087177169,ujspharma@gmail.com
.SAGAR (CASH)(1 ITEM),MUM/01102,12-Aug-26,7,7,7,8087177169,ujspharma@gmail.com,8087177169,ujspharma@gmail.com
.SAGAR (CASH)(1 ITEM),MUM/01108,13-Aug-26,7,7,6,8087177169,ujspharma@gmail.com,8087177169,ujspharma@gmail.com
.SAGAR (CASH)(1 ITEM),MUM/01120,14-Aug-26,2,2,5,8087177169,ujspharma@gmail.com,8087177169,ujspharma@gmail.com
.SAGAR (CASH)(1 ITEM),BHI/08773,17-Aug-26,3,3,2,8087177169,ujspharma@gmail.com,8087177169,ujspharma@gmail.com
.SAGAR (CASH)(1 ITEM),BHI/08793,17-Aug-26,18,18,2,8087177169,ujspharma@gmail.com,8087177169,ujspharma@gmail.com
.SAGAR (CASH)(1 ITEM),MUM/01122,17-Aug-26,7,7,2,8087177169,ujspharma@gmail.com,8087177169,ujspharma@gmail.com
