Description,BDM ,Total,Jun-26,May-26,Apr-26,Mar-26,Feb-26,Jan-26,Dec-25,Nov-25,Oct-25,Sep-25,Aug-25,"Jul 2025+Older",grouptype,groupuid
1 BHIWANDI STAFF,1 BHIWANDI STAFF,            8425.00,            8425.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,3366566778
-..NEW CODE CHALLAN BILLS,1 BHIWANDI STAFF,            8425.00,            8425.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,3366566778
1ARCHANA (MIS),1ARCHANA (MIS),        13560978.00,               0.00,         1217402.00,         2231862.00,          441002.00,           10993.00,           83791.00,           -9133.00,          201206.00,            6035.00,               0.00,            9371.00,         9368449.00,Group,2626320256
-ABDULLA (RD),1ARCHANA (MIS),           89800.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           89800.00,Detai,2626320256
-ADD ON SAFETY & SURIGICALS PVT LTD-MULUND,1ARCHANA (MIS),           37800.00,               0.00,               0.00,           37800.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,2626320256
-ALAK HEALTH CARE PVT LTD-GUJARAT,1ARCHANA (MIS),            6734.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            4579.00,               0.00,               0.00,             209.00,            1946.00,Detai,2626320256
-ALTIUZ PHARMACY-MALAD-X,1ARCHANA (MIS),           21308.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           21308.00,Detai,2626320256
-AMARI TRADE ALLIANCE LLP-LOWER PAREL,1ARCHANA (MIS),          273008.00,               0.00,          228500.00,           42945.00,               0.00,             670.00,               0.00,             893.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,2626320256
-AMBICA PHARMA (JOHNLEE)-SALE-BHIWANDI,1ARCHANA (MIS),          474075.00,               0.00,          128100.00,          345975.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,2626320256
-ARUSH ENT - SHRIRAMPUR,1ARCHANA (MIS),            2937.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            2937.00,Detai,2626320256
-AVENUE PHARMA-PEN -XX,1ARCHANA (MIS),           46515.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           46515.00,Detai,2626320256
-BIO PHARMA PRIMO IMPEX - JAIPUR,1ARCHANA (MIS),            9660.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            9660.00,               0.00,               0.00,               0.00,               0.00,Detai,2626320256
-BRIX MEDIC-DADAR,1ARCHANA (MIS),           14184.00,               0.00,            7776.00,            6408.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,2626320256
-CHANDRA BHAGAT PHARMA LIMITED-MUMBAI,1ARCHANA (MIS),           72218.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,             538.00,           71680.00,Detai,2626320256
-DISTINCT IMPEX PVT LTD -DAHISAR,1ARCHANA (MIS),          -19687.00,               0.00,               0.00,               0.00,               0.00,               0.00,           -1575.00,          -18112.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,2626320256
-ELITE DRUG - KOPARKHAIRANE-LN,1ARCHANA (MIS),          120891.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,          120891.00,Detai,2626320256
-EURO BIOM - DELHI,1ARCHANA (MIS),           67187.00,               0.00,           50197.00,               0.00,            4498.00,           12492.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,2626320256
-EXSELL LAB - THANE,1ARCHANA (MIS),           23625.00,               0.00,               0.00,           23625.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,2626320256
-GENRICPLUS PHARMA-KALHER (SKYOGEN),1ARCHANA (MIS),           10313.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           10313.00,Detai,2626320256
-GRAMEEN PHARMA LLP - OPERA HOUSE,1ARCHANA (MIS),          118567.00,               0.00,           -1680.00,          120247.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,2626320256
-GRD LIFE-SCIENCES PUNE -XX,1ARCHANA (MIS),           11895.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           11895.00,Detai,2626320256
-GURUKRUPA AGENCY - JALNA-XX,1ARCHANA (MIS),           13351.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           13351.00,Detai,2626320256
-HEALTHY INC - ANDHERI,1ARCHANA (MIS),          508032.00,               0.00,          208032.00,               0.00,          300000.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,2626320256
-INFUGEN LIFE SCIENCES PVT.LTD. - BHIWANDI,1ARCHANA (MIS),           68250.00,               0.00,               0.00,               0.00,               0.00,               0.00,           68250.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,2626320256
