Sales Men,Party Name
1ARVIND (MIS),GURU DRUG HOUSE - NANDED
1ARVIND (MIS),SHRI DATTA - KANHAN(NAGPUR) NEW GST NO
1ARVIND (MIS),CITY DRUG HOUSE - NAGPUR
1ARVIND (MIS),PREM MEDICAL - AMRAVATI
1ARVIND (MIS),ATHARVA MEDI - NAGPUR (SALE)
1ARVIND (MIS),GENERICURE-NAGPUR
1ARVIND (MIS),VIJAY AGENCIES-KHAMGAON
1ARVIND (MIS),MEDLINE ENTERPRISES - LAKHANI
1ARVIND (MIS),PMBJP - HIMAYATNAGAR
1ARVIND (MIS),FIRST PHARMACY-NAGPUR
1ARVIND (MIS),ACE PHARMA - CHANDRAPUR
1ARVIND (MIS),ARIHANT AGENCIES-NAGPUR       .
1ARVIND (MIS),SAINATH MEDICOS - NAGPUR
1ARVIND (MIS),SHRIRAM PHARMA - WADI (SALE)
1ARVIND (MIS),ADITYA PHARMA - AKOLA
1ARVIND (MIS),LIFE MEDICAL-SAMBHAJINAGAR
1ARVIND (MIS),SAIDHAM - GONDIA
1ARVIND (MIS),WHITE ORLON - NAGPUR
1ARVIND (MIS),SANJARIV PHARMA - NAGPUR
1ARVIND (MIS),VAIBHAV MEDICAL - SAKOLI(BHANDARA)
1ARVIND (MIS),GITESH SALES - AMRAVATI
1ARVIND (MIS),FISSION PHARMA - WANI(YAVATMAL)
1ARVIND (MIS),DILIP AGENCIES - NAGPUR
1ARVIND (MIS),GET LIFE PHARMA - CHANDRAPUR
1ARVIND (MIS),AISHWARYA MARKETING - AMRAVATI
1ARVIND (MIS),JAISWAL MEDICAL AGENCIES - RAMTEK
1ARVIND (MIS),SAMRAT MEDICOSE - NAGPUR
1ARVIND (MIS),SANDHYA MEDICAL AGENCY-NAGPUR
1ARVIND (MIS),METRO MEDICO TRADERS-MUL
1ARVIND (MIS),SHRI JAGDISH PHARMA-NAGPUR
1ARVIND (MIS),VIJAY AGENCIES - HINGOLI
1ARVIND (MIS),CHAITANYA PHARMA - SAMBHAJINAGAR
1ARVIND (MIS),RUDRA PHARMA-MOWAD
1ARVIND (MIS),DISHA AGENCY-PARBHANI
1ARVIND (MIS),MAHAVIR MEDISURGE-AMRAVATI
1ARVIND (MIS),JINESH AGENCIES-YAVATMAL
1ARVIND (MIS),SUPREME SURGICLAS - CHANDRAPUR
1ARVIND (MIS),MAULI PHARMA AGENCY -BRAMAHAPURI
1ARVIND (MIS),SHAHEEN PHARMA-NANDED
1ARVIND (MIS),SHRIKRUSHNA PHARMA - PARATWADA
1ARVIND (MIS),VYANKATESH MEDICAL AGENCIES - NAGPUR
1ARVIND (MIS),ASHIRWAD MEDICAL - GADCHIROLI
1ARVIND (MIS),WASIMA MEDICAL- BRAMAHAPURI
1ARVIND (MIS),REHMAN MEDICAL- KANDHAR(NANDED)
1ARVIND (MIS),RAJ PHARMA - JALGAON(RAHUL)
1ARVIND (MIS),ALKARIM MEDICAL & PHARMA - AMRAVATI
1ARVIND (MIS),INFINITY PHARMEX - NAGPUR
1ARVIND (MIS),SHRI KRISHNA DIST-SAMBHAJINAGAR
1ARVIND (MIS),SACHIN ENTERPRISES-AKOLA
1ARVIND (MIS),MAULI PHARMA - UMARKHED
1ARVIND (MIS),COGNYS LIFE SCIENCE - NAGPUR
1ARVIND (MIS),NEW CITY ENTERPRISES - NAGPUR (NEW)
1ARVIND (MIS),J K PHARMACEUTICALS - BHANDARA
1ARVIND (MIS),MUTUAL MEDICAL - NAGPUR
1ARVIND (MIS),MEHADIA AND SONS - NAGPUR
1ARVIND (MIS),SMITA PHARMA-NAGPUR
1ARVIND (MIS),GOTE DISTRIBUTORS-WASHIM
1ARVIND (MIS),SHASHI MEDICOSE - GADCHIROLI
1ARVIND (MIS),PRASHANT AGENCIES - BULDHANA
1ARVIND (MIS),PARAKH AGENCIES-WARDHA
1ARVIND (MIS),NIRMAL MEDICAL - BRAMHAPURI
1ARVIND (MIS),SHRI G AGENCIES - WARDHA
1ARVIND (MIS),SANKALP SALES-MALKAPUR
1ARVIND (MIS),JAY GANESH AGECY-WASHIM
1ARVIND (MIS),S.R.PHARMATECH - NAGPUR
1ARVIND (MIS),PARAG PHARMA - YAVATMAL
1ARVIND (MIS),SHRI AGENCIES-YAVATMAL
1ARVIND (MIS),SUKHAKARTA DISTRIBUTORS- UMARKHED
1ARVIND (MIS),L.G.PHARMACEUTICALS -AKOLA (5%OP)       .
